dt,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,vwc_1,vwc_2,vwc3,vwc_4
2018/4/21 8:15,23.833,23.713,24.098,24.098,24.219,24.171,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:20,23.497,23.376,23.905,23.954,24.098,24.146,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:25,23.328,23.16,23.665,23.809,23.978,23.978,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:30,23.569,23.4,23.569,23.809,23.978,24.05,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:35,23.857,23.689,23.713,23.593,23.809,23.881,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:40,24.219,24.074,24.098,23.545,23.737,23.809,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:45,24.677,24.557,24.484,23.472,23.593,23.641,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:50,25.21,25.137,25.065,23.617,23.593,23.569,0.0607,0.0814,0.0765,0.1747
2018/4/21 8:55,25.574,25.525,25.574,23.761,23.569,23.521,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:00,25.841,25.817,26.085,24.002,23.665,23.424,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:05,25.914,25.89,26.378,24.339,23.881,23.448,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:10,25.939,25.89,26.475,24.581,24.074,23.424,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:15,25.939,25.914,26.598,24.968,24.388,23.424,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:20,25.89,25.841,26.549,25.162,24.629,23.521,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:25,25.89,25.939,26.573,25.38,24.871,23.713,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:30,26.134,26.134,26.695,25.55,25.113,23.905,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:35,26.451,26.378,26.916,25.55,25.21,24.146,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:40,26.94,26.842,27.308,25.744,25.404,24.291,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:45,27.308,27.21,27.727,25.866,25.501,24.508,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:50,27.554,27.481,28.147,26.061,25.647,24.677,0.0607,0.0814,0.0765,0.1747
2018/4/21 9:55,27.579,27.579,28.444,26.378,25.89,24.871,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:00,27.407,27.382,28.444,26.549,26.036,24.944,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:05,27.21,27.186,28.394,26.867,26.329,25.089,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:10,26.818,26.769,28.147,26.989,26.524,25.258,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:15,26.426,26.378,27.776,27.112,26.744,25.55,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:20,25.987,25.939,27.358,27.186,26.916,25.793,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:25,25.453,25.38,26.769,26.965,26.916,25.914,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:30,25.113,25.04,26.329,26.867,26.965,26.134,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:35,24.653,24.557,25.793,26.573,26.842,26.256,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:40,24.267,24.146,25.307,26.231,26.622,26.329,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:45,23.93,23.809,24.871,25.939,26.426,26.378,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:50,23.521,23.376,24.412,25.501,26.085,26.231,0.0607,0.0814,0.0765,0.1747
2018/4/21 10:55,23.256,23.136,24.074,25.186,25.841,26.207,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:00,22.92,22.8,23.665,24.798,25.501,26.036,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:05,22.633,22.513,23.328,24.388,25.113,25.817,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:10,22.585,22.441,23.088,24.098,24.847,25.647,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:15,22.705,22.489,22.872,23.689,24.436,25.355,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:20,23.088,22.896,23.04,23.376,24.122,25.065,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:25,23.545,23.376,23.424,23.184,23.809,24.75,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:30,24.002,23.809,23.857,22.944,23.472,24.339,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:35,24.605,24.46,24.508,23.064,23.328,24.074,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:40,25.089,24.919,25.04,23.136,23.184,23.761,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:45,25.72,25.574,25.72,23.4,23.232,23.497,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:50,26.304,26.207,26.402,23.761,23.376,23.232,0.0607,0.0814,0.0765,0.1747
2018/4/21 11:55,26.524,26.451,26.965,24.098,23.569,23.208,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:00,26.524,26.524,27.407,24.629,23.954,23.184,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:05,26.182,26.182,27.358,25.016,24.267,23.208,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:10,25.841,25.817,27.136,25.428,24.653,23.28,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:15,25.428,25.428,26.769,25.744,25.065,23.521,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:20,24.968,24.895,26.28,25.793,25.307,23.785,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:25,24.605,24.557,25.89,25.914,25.55,24.098,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:30,24.098,24.05,25.307,25.695,25.598,24.363,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:35,23.761,23.641,24.871,25.501,25.598,24.629,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:40,23.4,23.328,24.436,25.307,25.525,24.823,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:45,22.968,22.848,23.905,24.895,25.307,25.016,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:50,22.705,22.609,23.545,24.629,25.113,25.016,0.0607,0.0814,0.0765,0.1747
2018/4/21 12:55,22.393,22.298,23.184,24.267,24.847,24.968,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:00,22.13,22.011,22.824,23.881,24.508,24.823,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:05,21.915,21.819,22.537,23.593,24.267,24.774,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:10,21.795,21.628,22.202,23.184,23.881,24.557,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:15,22.058,21.867,22.13,22.92,23.593,24.339,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:20,22.417,22.25,22.298,22.633,23.28,24.05,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:25,22.92,22.729,22.657,22.369,22.944,23.785,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:30,23.497,23.328,23.232,22.321,22.753,23.569,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:35,23.978,23.785,23.761,22.274,22.513,23.208,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:40,24.605,24.436,24.46,22.489,22.465,22.944,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:45,25.186,25.04,25.113,22.8,22.537,22.705,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:50,25.793,25.574,25.744,23.088,22.657,22.513,0.0607,0.0814,0.0765,0.1747
2018/4/21 13:55,26.353,26.207,26.426,23.545,22.968,22.417,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:00,26.671,26.549,27.014,23.954,23.232,22.345,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:05,26.793,26.744,27.53,24.508,23.641,22.465,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:10,26.549,26.549,27.653,25.016,24.098,22.633,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:15,26.182,26.158,27.456,25.404,24.508,22.848,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:20,25.841,25.841,27.21,25.841,24.968,23.232,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:25,25.331,25.307,26.72,25.963,25.307,23.497,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:30,24.944,24.895,26.28,26.061,25.598,23.881,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:35,24.532,24.508,25.841,26.036,25.768,24.291,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:40,24.074,23.978,25.283,25.768,25.744,24.508,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:45,23.761,23.689,24.871,25.598,25.744,24.871,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:50,23.376,23.304,24.436,25.307,25.598,25.04,0.0607,0.0814,0.0765,0.1747
2018/4/21 14:55,23.136,23.04,24.074,25.016,25.428,25.162,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:00,22.8,22.729,23.665,24.677,25.186,25.21,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:05,22.489,22.393,23.256,24.243,24.871,25.137,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:10,22.441,22.298,23.016,24.002,24.653,25.113,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:15,22.585,22.369,22.824,23.641,24.291,24.871,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:20,23.016,22.753,22.944,23.352,24.002,24.629,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:25,23.497,23.256,23.328,23.136,23.713,24.388,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:30,24.074,23.785,23.809,22.92,23.376,24.098,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:35,24.75,24.436,24.46,22.992,23.232,23.905,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:40,25.258,24.968,25.065,23.088,23.136,23.641,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:45,25.841,25.623,25.744,23.328,23.184,23.424,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:50,26.426,26.256,26.475,23.713,23.328,23.208,0.0607,0.0814,0.0765,0.1747
2018/4/21 15:55,26.549,26.5,27.087,24.074,23.521,23.04,0.0607,0.0814,0.0765,0.1747
2018/4/21 16:00,26.475,26.5,27.481,24.629,23.905,23.088,0.0607,0.0814,0.0765,0.1747
2018/4/21 16:05,26.109,26.134,27.382,25.065,24.267,23.16,0.0607,0.0814,0.0765,0.1747
